condition	cond2	tradhyp	controltrans	liar	likemu_1	likejd_1	likepc	likepd_1	like	goodmu_1	goodjd_1	id	goodpc	goodpd_1	good	trustmu_1	trustjd_1	trustpc	trustpd_1	trust	honestmu_1	honestjd_1	honestpc	honestpd_1	honest	hypmu_1	hypjd_1	hyppc	hyppd_1	hyp	overall	age	gender	edu	income	generaltrust	previousexperience
controltrans	3	0	1	0	50	50	50	50	50	50	50	16	50	50	50	50	50	50	50	50	18	50	50	50	42	50	50	50	50	50	48	31	1	1	6	4	1
liar	2	0	0	1	40	33	20	32	31.25	39	44	17	28	31	35.5	33	32	30	40	33.75	61	35	30	22	37	29	38	60	55	45.5	34.375	33	1	5	7	4	3
controltrans	3	0	1	0	38	49	51	50	47	50	50	18	50	50	50	50	50	50	48	49.5	44	50	50	50	48.5	71	50	50	50	55.25	48.75	61	2	2	8	6	1
controltrans	3	0	1	0	44	54	56	58	53	35	55	19	61	53	51	18	53	57	55	45.75	6	55	57	63	45.25	39	37	36	46	39.5	48.75	50	2	5	3	4	1
tradhyp	1	1	0	0	50	50	29	39	42	50	53	20	50	50	50.75	40	24	50	50	41	39	20	34	50	35.75	53	22	9	8	23	42.375	22	2	2	1	6	2
tradhyp	1	1	0	0	24	23	20	21	22	21	27	21	28	20	24	19	22	24	24	22.25	22	17	24	21	21	81	83	82	89	83.75	22.3125	60	1	6	7	2	3
controltrans	3	0	1	0	83	19	25	13	35	46	21	22	46	16	32.25	37	0	33	33	25.75	38	0	50	52	35	0	0	0	0	0	32	20	1	2	3	5	1
controltrans	3	0	1	0	70	58	65	80	68.25	65	48	23	74	78	66.25	33	41	67	84	56.25	40	40	72	85	59.25	83	69	69	57	69.5	62.5	30	2	6	6	5	1
tradhyp	1	1	0	0	58	64	67	75	66	74	58	24	78	73	70.75	50	66	75	77	67	53	81	75	67	69	76	65	70	72	70.75	68.1875	24	1	4	5	6	3
controltrans	3	0	1	0	47	55	33	51	46.5	50	59	25	34	35	44.5	32	41	38	41	38	25	53	37	46	40.25	41	38	15	46	35	42.3125	34	2	4	7	5	2
controltrans	3	0	1	0	65	65	59	58	61.75	64	60	26	60	63	61.75	62	61	63	37	55.75	70	64	55	58	61.75	58	58	67	63	61.5	60.25	39	1	4	8	6	1
controltrans	3	0	1	0	40	33	37	47	39.25	39	50	27	40	79	52	38	61	44	80	55.75	37	34	44	78	48.25	40	43	36	37	39	48.8125	40	2	5	9	6	1
liar	2	0	0	1	17	16	21	19	18.25	2	11	28	15	12	10	11	12	16	18	14.25	15	9	19	9	13	88	88	83	87	86.5	13.875	24	1	5	7	5	1
tradhyp	1	1	0	0	50	50	50	50	50	50	50	29	50	50	50	50	50	50	50	50	50	50	50	50	50	71	70	73	71	71.25	50	43	2	2	5	6	1
controltrans	3	0	1	0	22	55	25	19	30.25	31	58	30	26	20	33.75	33	63	26	27	37.25	26	61	27	20	33.5	73	31	44	71	54.75	33.6875	31	2	4	5	2	2
liar	2	0	0	1	50	51	50	44	48.75	50	50	31	50	48	49.5	38	36	41	35	37.5	10	35	35	31	27.75	91	93	86	87	89.25	40.875	26	1	2	3	6	3
liar	2	0	0	1	46	0	0	0	11.5	50	13	32	0	0	15.75	48	14	0	100	40.5	24	0	0	0	6	25	100	100	100	81.25	18.4375	25	2	4	4	3	1
tradhyp	1	1	0	0	66	62	60	56	61	78	59	33	67	69	68.25	59	55	57	60	57.75	30	37	50	54	42.75	98	97	96	86	94.25	57.4375	28	1	5	5	6	3
tradhyp	1	1	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	0	52	1	5	5	2	1
controltrans	3	0	1	0	50	90	50	50	60	50	70	35	50	50	55	50	73	50	50	55.75	50	74	30	50	51	50	56	50	50	51.5	55.4375	37	2	5	8	5	1
tradhyp	1	1	0	0	6	8	6	7	6.75	9	15	36	0	16	10	6	6	0	5	4.25	0	11	0	11	5.5	99	9	95	86	72.25	6.625	23	1	5	10	5	1
tradhyp	1	1	0	0	20	69	15	41	36.25	13	37	37	52	50	38	7	43	45	33	32	0	27	47	34	27	97	75	83	92	86.75	33.3125	38	2	5	9	4	1
tradhyp	1	1	0	0	17	32	53	45	36.75	46	46	38	59	47	49.5	20	78	55	46	49.75	7	53	77	38	43.75	0	78	52	64	48.5	44.9375	18	1	2	1	4	1
liar	2	0	0	1	39	10	29	42	30	34	21	39	34	48	34.25	35	5	32	39	27.75	36	8	31	40	28.75	63	95	74	59	72.75	30.1875	19	1	4	5	6	1
tradhyp	1	1	0	0	47	45	44	48	46	49	46	40	46	46	46.75	9	1	47	2	14.75	7	7	0	0	3.5	100	100	100	98	99.5	27.75	61	2	2	1	5	3
liar	2	0	0	1	33	36	46	46	40.25	55	52	41	56	57	55	48	35	32	43	39.5	34	44	31	36	36.25	84	91	69	85	82.25	42.75	50	2	2	4	5	2
liar	2	0	0	1	41	54	43	42	45	42	53	42	43	58	49	38	42	44	39	40.75	44	42	43	42	42.75	69	73	57	65	66	44.375	43	2	4	6	5	2
controltrans	3	0	1	0	74	62	40	33	52.25	44	60	43	33	29	41.5	59	60	34	56	52.25	41	41	37	66	46.25	64	58	33	30	46.25	48.0625	44	1	5	6	2	1
liar	2	0	0	1	16	5	14	20	13.75	45	50	44	10	47	38	10	29	28	17	21	14	25	20	21	20	78	84	92	81	83.75	23.1875	22	2	4	9	5	1
controltrans	3	0	1	0	88	64	24	5	45.25	65	87	45	14	19	46.25	69	66	32	26	48.25	63	86	35	36	55	27	0	66	68	40.25	48.6875	22	1	2	4	5	3
controltrans	3	0	1	0	60	42	28	22	38	57	48	46	33	45	45.75	57	40	34	25	39	51	42	31	45	42.25	48	50	52	52	50.5	41.25	30	2	6	3	4	1
tradhyp	1	1	0	0	36	47	39	32	38.5	43	48	47	36	40	41.75	32	31	33	30	31.5	13	25	40	37	28.75	81	22	34	30	41.75	35.125	23	1	4	6	6	1
liar	2	0	0	1	56	39	78	53	56.5	41	55	48	68	35	49.75	36	32	66	37	42.75	35	33	79	30	44.25	81	79	15	83	64.5	48.3125	20	1	4	3	3	1
tradhyp	1	1	0	0	7	50	25	50	33	50	50	49	50	50	50	6	50	35	21	28	3	50	50	22	31.25	4	18	60	80	40.5	35.5625	42	2	4	4	2	2
controltrans	3	0	1	0	59	43	38	40	45	55	44	50	35	43	44.25	51	34	38	43	41.5	62	39	38	38	44.25	42	53	71	58	56	43.75	23	1	4	3	4	2
liar	2	0	0	1	50	50	50	22	43	51	90	51	50	52	60.75	51	50	51	50	50.5	50	50	50	50	50	51	50	50	64	53.75	51.0625	22	2	5	7	6	3
controltrans	3	0	1	0	57	39	14	35	36.25	43	51	52	10	27	32.75	22	19	43	50	33.5	21	19	29	43	28	50	48	36	50	46	32.625	27	1	5	6	5	2
controltrans	3	0	1	0	50	50	50	50	50	43	43	53	41	40	41.75	44	42	40	50	44	42	40	40	50	43	50	50	50	48	49.5	44.6875	27	2	6	8	5	1
controltrans	3	0	1	0	62	51	23	50	46.5	50	50	54	35	48	45.75	53	50	24	50	44.25	53	34	44	50	45.25	48	26	50	46	42.5	45.4375	33	1	6	9	6	1
controltrans	3	0	1	0	77	52	56	40	56.25	72	53	55	45	39	52.25	70	11	42	42	41.25	81	11	52	28	43	15	66	50	79	52.5	48.1875	29	1	5	6	2	1
tradhyp	1	1	0	0	42	35	46	40	40.75	52	42	56	44	40	44.5	43	38	37	43	40.25	43	40	23	40	36.5	97	98	93	92	95	40.5	20	2	5	4	3	3
liar	2	0	0	1	73	79	61	60	68.25	78	85	57	65	61	72.25	69	81	68	66	71	74	72	75	69	72.5	80	72	67	48	66.75	71	50	2	4	9	5	2
tradhyp	1	1	0	0	20	33	38	38	32.25	36	28	58	53	57	43.5	20	38	37	36	32.75	20	31	32	57	35	100	93	100	91	96	35.875	21	1	4	6	3	1
tradhyp	1	1	0	0	53	53	55	33	48.5	52	35	59	45	43	43.75	10	33	45	45	33.25	44	43	52	52	47.75	83	93	83	69	82	43.3125	31	1	4	5	5	3
tradhyp	1	1	0	0	31	42	91	77	60.25	78	68	60	93	82	80.25	86	75	87	79	81.75	87	77	89	83	84	69	62	38	26	48.75	76.5625	30	2	4	7	6	1
tradhyp	1	1	0	0	33	40	33	45	37.75	43	40	61	19	42	36	35	40	36	44	38.75	31	35	26	42	33.5	75	76	83	75	77.25	36.5	31	1	6	5	5	1
liar	2	0	0	1	44	50	47	47	47	49	50	62	43	45	46.75	41	48	47	48	46	24	42	27	34	31.75	61	52	59	64	59	42.875	36	1	4	5	6	2
liar	2	0	0	1	30	52	19	50	37.75	27	73	63	21	59	45	18	88	18	34	39.5	16	84	13	41	38.5	100	7	100	12	54.75	40.1875	30	2	5	6	2	1
liar	2	0	0	1	56	52	54	55	54.25	52	55	64	54	54	53.75	46	41	46	46	44.75	21	47	28	32	32	62	62	47	53	56	46.1875	53	1	2	7	6	1
liar	2	0	0	1	50	22	43	64	44.75	71	18	65	43	74	51.5	64	16	70	66	54	35	16	35	62	37	84	17	83	29	53.25	46.8125	24	2	2	4	7	1
tradhyp	1	1	0	0	0	11	0	0	2.75	5	19	66	0	7	7.75	0	0	20	3	5.75	0	7	20	0	6.75	100	100	100	100	100	5.75	61	2	2	6	5	2
tradhyp	1	1	0	0	18	10	8	20	14	42	18	67	44	16	30	8	10	32	13	15.75	16	10	9	11	11.5	93	98	93	89	93.25	17.8125	44	1	6	9	3	2
controltrans	3	0	1	0	33	36	19	66	38.5	27	61	68	62	59	52.25	16	41	61	40	39.5	22	62	62	54	50	84	81	62	21	62	45.0625	35	2	5	9	6	1
controltrans	3	0	1	0	50	49	56	40	48.75	48	50	69	49	40	46.75	51	49	50	43	48.25	49	41	63	48	50.25	48	49	51	49	49.25	48.5	24	2	4	6	2	2
liar	2	0	0	1	45	34	50	42	42.75	31	32	70	50	44	39.25	50	37	38	35	40	25	33	41	37	34	77	90	61	82	77.5	39	42	1	6	10	5	1
tradhyp	1	1	0	0	0	0	0	47	11.75	0	0	71	0	23	5.75	0	0	0	25	6.25	0	0	0	23	5.75	100	100	100	89	97.25	7.375	31	2	2	7	7	1
liar	2	0	0	1	32	46	29	35	35.5	47	47	72	42	46	45.5	36	48	34	50	42	36	48	35	50	42.25	67	71	66	35	59.75	41.3125	35	2	6	6	4	1
controltrans	3	0	1	0	52	51	54	37	48.5	55	52	73	41	56	51	43	46	44	59	48	45	49	58	38	47.5	55	50	55	58	54.5	48.75	24	1	5	5	4	1
liar	2	0	0	1	50	50	22	50	43	49	50	74	35	50	46	23	15	13	17	17	18	18	16	28	20	93	95	92	85	91.25	31.5	27	2	6	5	6	2
tradhyp	1	1	0	0	50	31	29	27	34.25	50	50	75	50	50	50	50	17	36	9	28	50	26	34	31	35.25	100	100	100	100	100	36.875	45	2	5	10	6	1
liar	2	0	0	1	32	14	9	25	20	32	25	76	13	30	25	20	16	21	14	17.75	13	14	14	31	18	9	8	86	10	28.25	20.1875	57	1	5	5	5	2
tradhyp	1	1	0	0	45	48	44	48	46.25	50	49	77	45	55	49.75	35	48	44	50	44.25	49	48	46	50	48.25	93	87	92	66	84.5	47.125	57	2	5	9	6	3
tradhyp	1	1	0	0	41	50	54	50	48.75	34	50	78	58	50	48	13	38	61	50	40.5	7	43	50	50	37.5	100	97	100	98	98.75	43.6875	22	2	2	6	3	1
controltrans	3	0	1	0	67	60	20	57	51	73	58	79	31	63	56.25	50	58	47	58	53.25	50	56	42	63	52.75	19	25	35	22	25.25	53.3125	23	2	4	4	4	2
tradhyp	1	1	0	0	15	25	80	66	46.5	65	58	80	85	74	70.5	38	43	48	50	44.75	20	68	90	71	62.25	81	89	63	67	75	56	26	1	6	6	6	1
controltrans	3	0	1	0	72	70	70	58	67.5	69	31	81	69	70	59.75	37	69	38	72	54	78	76	67	64	71.25	61	70	72	25	57	63.125	26	1	4	7	5	3
liar	2	0	0	1	6	0	14	0	5	2	1	82	0	0	0.75	1	0	0	0	0.25	1	0	0	0	0.25	100	0	0	99	49.75	1.5625	43	2	2	1	7	1
liar	2	0	0	1	31	30	72	79	53	47	69	83	72	65	63.25	62	94	36	63	63.75	36	78	35	40	47.25	79	82	39	76	69	56.8125	28	2	5	5	4	2
controltrans	3	0	1	0	38	55	33	65	47.75	40	63	84	40	66	52.25	44	57	33	68	50.5	40	50	33	69	48	41	55	39	69	51	49.625	59	2	3	5	5	2
liar	2	0	0	1	10	22	0	21	13.25	28	38	85	14	30	27.5	18	16	24	16	18.5	0	0	0	0	0	0	100	100	100	75	14.8125	39	1	3	6	4	2
controltrans	3	0	1	0	47	49	50	50	49	42	51	86	54	53	50	34	48	47	55	46	35	46	47	55	45.75	43	59	52	59	53.25	47.6875	38	2	5	4	2	1
controltrans	3	0	1	0	30	34	30	51	36.25	37	43	87	36	43	39.75	31	39	33	33	34	19	51	25	34	32.25	77	52	81	83	73.25	35.5625	42	2	4	5	5	1
liar	2	0	0	1	48	50	0	50	37	50	16	88	23	0	22.25	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	14.8125	24	2	2	2	5	1
liar	2	0	0	1	46	35	45	58	46	20	41	89	33	61	38.75	40	29	38	65	43	40	30	34	40	36	97	96	97	94	96	40.9375	38	1	6	7	3	1
liar	2	0	0	1	33	31	25	47	34	26	44	90	48	50	42	24	32	48	49	38.25	25	25	49	49	37	100	100	78	78	89	37.8125	66	1	5	8	7	1
controltrans	3	0	1	0	29	32	21	50	33	21	35	91	29	40	31.25	19	26	33	51	32.25	12	33	43	54	35.5	42	57	39	34	43	33	63	1	5	5	5	2
controltrans	3	0	1	0	50	50	50	50	50	50	50	92	50	50	50	50	50	48	49	49.25	50	50	50	50	50	50	50	49	50	49.75	49.8125	28	1	4	5	4	1
tradhyp	1	1	0	0	94	39	47	22	50.5	80	67	93	60	14	55.25	88	56	62	19	56.25	76	37	64	52	57.25	11	53	91	89	61	54.8125	24	1	4	2	6	3
controltrans	3	0	1	0	24	29	22	31	26.5	27	26	94	28	29	27.5	22	30	25	38	28.75	16	30	33	31	27.5	75	74	70	65	71	27.5625	25	1	2	5	5	1
tradhyp	1	1	0	0	72	44	38	30	46	61	39	95	37	32	42.25	27	21	33	43	31	32	17	35	33	29.25	76	78	81	78	78.25	37.125	27	1	3	2	1	1
tradhyp	1	1	0	0	20	50	28	26	31	49	34	96	50	37	42.5	11	31	34	17	23.25	7	22	31	31	22.75	96	100	95	98	97.25	29.875	27	1	4	7	3	1
controltrans	3	0	1	0	80	70	73	78	75.25	87	77	97	72	85	80.25	83	78	86	83	82.5	82	63	74	83	75.5	8	5	10	8	7.75	78.375	34	2	2	1	5	1
tradhyp	1	1	0	0	23	29	20	16	22	41	51	98	22	15	32.25	40	13	51	35	34.75	21	31	21	20	23.25	23	13	15	15	16.5	28.0625	24	1	5	4	2	1
liar	2	0	0	1	50	50	50	50	50	50	50	99	50	50	50	48	50	51	47	49	44	43	47	36	42.5	45	38	45	67	48.75	47.875	63	2	5	7	5	1
controltrans	3	0	1	0	18	46	72	28	41	38	57	100	66	40	50.25	25	56	69	25	43.75	21	25	77	13	34	95	2	3	87	46.75	42.25	25	1	4	5	6	1
liar	2	0	0	1	19	50	32	33	33.5	5	39	101	32	14	22.5	25	48	32	28	33.25	1	25	9	24	14.75	100	96	99	100	98.75	26	53	2	2	8	3	1
tradhyp	1	1	0	0	22	17	19	13	17.75	36	19	102	43	23	30.25	33	0	7	12	13	0	20	0	0	5	100	100	100	100	100	16.5	25	2	2	1	5	1
tradhyp	1	1	0	0	34	43	7	27	27.75	44	37	103	45	49	43.75	36	44	35	47	40.5	25	39	26	47	34.25	100	92	93	100	96.25	36.5625	27	1	2	5	5	1
controltrans	3	0	1	0	67	0	47	72	46.5	66	46	104	55	25	48	71	52	55	45	55.75	72	53	57	26	52	23	46	0	100	42.25	50.5625	41	1	4	4	5	1
liar	2	0	0	1	84	51	50	52	59.25	83	50	105	50	50	58.25	80	50	30	50	52.5	85	37	20	41	45.75	0	87	90	63	60	53.9375	48	1	4	4	5	3
tradhyp	1	1	0	0	13	14	5	34	16.5	33	15	106	17	33	24.5	22	15	21	32	22.5	17	21	16	34	22	99	89	89	65	85.5	21.375	31	1	5	1	5	1
tradhyp	1	1	0	0	58	24	31	71	46	40	38	107	28	31	34.25	35	30	17	71	38.25	42	36	14	40	33	96	96	95	33	80	37.875	29	1	6	10	2	3
liar	2	0	0	1	48	45	48	51	48	44	45	108	47	52	47	46	44	49	51	47.5	37	48	41	50	44	13	74	24	50	40.25	46.625	32	2	4	5	5	1
controltrans	3	0	1	0	50	50	38	50	47	28	25	109	28	50	32.75	28	20	30	50	32	14	20	18	50	25.5	70	87	77	50	71	34.3125	30	2	6	10	5	2
controltrans	3	0	1	0	50	50	36	50	46.5	50	50	110	44	48	48	50	49	31	46	44	50	50	41	50	47.75	50	50	65	50	53.75	46.5625	26	2	1	1	3	2
liar	2	0	0	1	28	42	33	48	37.75	26	47	111	39	46	39.5	0	37	28	37	25.5	0	35	25	40	25	80	60	58	56	63.5	31.9375	49	2	2	6	4	2
controltrans	3	0	1	0	50	50	50	49	49.75	50	50	112	50	47	49.25	49	50	50	50	49.75	49	50	50	49	49.5	0	0	0	0	0	49.5625	32	1	6	8	6	1
controltrans	3	0	1	0	52	56	46	50	51	62	48	113	48	51	52.25	48	47	42	50	46.75	50	46	45	49	47.5	21	79	78	82	65	49.375	39	2	5	3	4	2
liar	2	0	0	1	36	40	48	43	41.75	37	38	114	46	40	40.25	20	47	47	13	31.75	10	33	45	6	23.5	98	85	54	93	82.5	34.3125	51	2	5	5	5	1
controltrans	3	0	1	0	36	50	43	50	44.75	28	50	115	39	72	47.25	25	50	38	50	40.75	26	50	38	69	45.75	24	50	56	50	45	44.625	52	2	3	6	5	2
liar	2	0	0	1	10	54	43	47	38.5	42	45	116	50	64	50.25	29	42	41	45	39.25	23	53	40	11	31.75	100	46	9	21	44	39.9375	29	1	5	4	6	4
controltrans	3	0	1	0	50	58	69	58	58.75	51	60	117	50	50	52.75	38	51	50	57	49	43	50	50	53	49	62	46	33	52	48.25	52.375	38	2	5	7	5	3
controltrans	3	0	1	0	60	0	21	6	21.75	62	24	118	2	17	26.25	29	1	12	34	19	38	10	14	61	30.75	74	5	63	60	50.5	24.4375	25	2	2	7	2	2
tradhyp	1	1	0	0	7	30	19	40	24	2	38	119	16	65	30.25	0	28	13	50	22.75	1	30	31	64	31.5	87	58	63	35	60.75	27.125	30	1	5	7	5	1
liar	2	0	0	1	31	40	54	52	44.25	42	44	120	48	48	45.5	36	33	49	55	43.25	34	31	49	54	42	66	70	47	46	57.25	43.75	49	2	6	3	5	2
liar	2	0	0	1	33	37	33	39	35.5	35	21	121	37	34	31.75	18	17	30	37	25.5	11	16	36	39	25.5	95	92	71	85	85.75	29.5625	52	1	4	5	5	3
tradhyp	1	1	0	0	52	50	38	42	45.5	50	50	122	44	50	48.5	53	52	50	44	49.75	46	52	32	42	43	92	79	83	88	85.5	46.6875	53	1	5	8	5	1
tradhyp	1	1	0	0	38	46	40	38	40.5	43	40	123	49	47	44.75	39	39	50	34	40.5	36	32	26	32	31.5	74	77	70	75	74	39.3125	27	1	4	4	4	2
liar	2	0	0	1	79	64	62	67	68	80	71	124	69	75	73.75	90	85	71	84	82.5	62	75	60	83	70	72	76	70	81	74.75	73.5625	28	1	5	9	5	3
liar	2	0	0	1	4	1	24	25	13.5	20	6	125	14	26	16.5	0	1	16	17	8.5	2	2	17	13	8.5	99	98	83	88	92	11.75	54	1	6	6	6	1
liar	2	0	0	1	60	76	61	45	60.5	53	70	126	44	42	52.25	54	67	46	44	52.75	0	22	45	37	26	100	100	100	100	100	47.875	27	1	2	1	3	1
liar	2	0	0	1	52	44	56	36	47	42	57	127	45	35	44.75	59	59	48	58	56	59	54	45	63	55.25	32	42	53	42	42.25	50.75	30	2	5	7	6	1
liar	2	0	0	1	52	52	17	52	43.25	55	60	128	22	50	46.75	12	16	8	35	17.75	9	37	7	41	23.5	67	76	78	92	78.25	32.8125	27	2	5	6	5	1
liar	2	0	0	1	21	32	39	34	31.5	26	44	129	35	37	35.5	21	9	36	24	22.5	29	22	36	43	32.5	67	76	75	69	71.75	30.5	30	2	6	7	3	1
liar	2	0	0	1	57	49	49	51	51.5	46	48	130	52	50	49	49	50	48	51	49.5	39	40	51	52	45.5	89	76	71	51	71.75	48.875	43	2	4	5	5	3
tradhyp	1	1	0	0	25	45	43	47	40	36	47	131	46	43	43	36	44	42	39	40.25	38	44	40	44	41.5	81	89	88	66	81	41.1875	34	2	2	9	5	1
liar	2	0	0	1	46	58	40	50	48.5	32	41	132	44	50	41.75	43	43	35	50	42.75	26	45	38	57	41.5	62	57	37	77	58.25	43.625	24	2	2	4	6	1
liar	2	0	0	1	52	52	54	54	53	64	53	133	53	59	57.25	20	26	31	30	26.75	17	27	24	26	23.5	81	78	80	83	80.5	40.125	64	2	6	10	5	1
tradhyp	1	1	0	0	95	1	4	5	26.25	97	5	134	9	3	28.5	96	3	8	5	28	98	4	4	5	27.75	6	99	100	100	76.25	27.625	28	1	2	5	5	1
tradhyp	1	1	0	0	50	50	48	48	49	50	48	135	50	47	48.75	50	46	48	51	48.75	50	50	51	50	50.25	50	47	50	50	49.25	49.1875	28	1	2	3	4	1
tradhyp	1	1	0	0	18	6	6	13	10.75	39	24	136	40	36	34.75	7	5	6	27	11.25	7	0	0	0	1.75	100	100	100	100	100	14.625	30	2	2	7	4	2
controltrans	3	0	1	0	11	0	4	22	9.25	10	21	137	12	54	24.25	6	2	4	15	6.75	4	2	8	12	6.5	87	7	77	80	62.75	11.6875	26	2	2	6	5	1
liar	2	0	0	1	0	0	0	0	0	30	49	138	48	50	44.25	22	44	42	41	37.25	30	50	48	37	41.25	100	49	50	64	65.75	30.6875	27	1	5	6	5	3
controltrans	3	0	1	0	17	27	18	20	20.5	18	20	139	19	23	20	18	24	19	21	20.5	15	17	22	22	19	86	87	88	79	85	20	25	1	4	4	5	1
liar	2	0	0	1	36	23	25	44	32	39	28	140	26	41	33.5	36	14	25	45	30	24	3	27	36	22.5	62	88	70	60	70	29.5	22	1	5	4	7	1
tradhyp	1	1	0	0	50	50	50	50	50	50	50	141	49	50	49.75	50	50	50	49	49.75	50	50	50	50	50	50	50	50	50	50	49.875	21	1	2	4	4	3
tradhyp	1	1	0	0	5	15	0	0	5	21	23	142	20	21	21.25	19	11	0	0	7.5	21	17	0	0	9.5	91	100	100	100	97.75	10.8125	24	2	5	4	4	1
liar	2	0	0	1	50	39	42	20	37.75	50	50	143	28	37	41.25	42	41	30	30	35.75	38	40	36	24	34.5	69	70	61	61	65.25	37.3125	28	2	5	4	3	2
liar	2	0	0	1	53	44	74	46	54.25	60	55	144	62	63	60	51	27	62	37	44.25	56	35	63	42	49	42	94	39	61	59	51.875	23	1	4	6	3	2
tradhyp	1	1	0	0	17	0	1	7	6.25	15	17	145	0	20	13	21	0	0	6	6.75	14	0	0	5	4.75	83	100	100	93	94	7.6875	37	2	6	6	5	2
controltrans	3	0	1	0	38	47	39	54	44.5	36	53	146	30	42	40.25	26	47	30	49	38	32	31	74	44	45.25	75	71	86	75	76.75	42	41	1	5	6	1	3
liar	2	0	0	1	78	75	15	72	60	80	86	147	18	55	59.75	81	82	20	67	62.5	88	82	19	64	63.25	53	52	63	57	56.25	61.375	26	1	6	9	6	1
tradhyp	1	1	0	0	17	20	62	28	31.75	36	48	148	71	33	47	19	16	64	15	28.5	8	43	74	23	37	90	71	20	92	68.25	36.0625	29	2	5	7	5	3
tradhyp	1	1	0	0	6	56	26	10	24.5	9	45	149	16	22	23	14	40	20	10	21	13	31	8	6	14.5	94	82	93	97	91.5	20.75	51	1	6	7	4	1
liar	2	0	0	1	52	49	36	42	44.75	43	46	150	26	46	40.25	41	40	42	37	40	45	44	38	36	40.75	64	70	74	71	69.75	41.4375	53	2	6	2	5	3
tradhyp	1	1	0	0	25	35	30	51	35.25	41	46	151	39	38	41	25	37	35	33	32.5	27	23	36	34	30	100	86	79	69	83.5	34.6875	60	2	6	6	5	1
tradhyp	1	1	0	0	24	47	10	36	29.25	42	55	152	38	62	49.25	0	53	30	33	29	0	57	36	61	38.5	100	53	88	63	76	36.5	47	2	4	7	5	2
controltrans	3	0	1	0	35	45	12	51	35.75	50	35	153	50	50	46.25	36	41	50	50	44.25	32	47	45	50	43.5	47	50	48	50	48.75	42.4375	30	2	5	6	5	1
liar	2	0	0	1	50	50	50	50	50	50	50	154	50	50	50	36	50	50	50	46.5	28	42	40	50	40	34	36	39	50	39.75	46.625	58	1	6	9	5	3
liar	2	0	0	1	50	50	50	50	50	50	50	155	46	50	49	19	27	36	37	29.75	30	27	33	36	31.5	77	78	66	63	71	40.0625	35	2	5	5	5	3
