id	reason
84	"I'm generally kind of trustworthy, so I was likely to give everyone the benefit of the doubt. I think I was most optimistic with the relationship/hiking club scenario. In general, I assumed that there were more than just the three of us in each hypothetical, and as such the person I didn't talk to was no more or no less likely to engage in the bad behavior described."
85	"I made my judgements based on what the situation was and what the ""bad thing"" was (i.e. cheating on an exam, slacking at work, drugs, etc.)"
86	"I had no information at all about the people in the questions so, by default, I assumed they were average and chose the middle option for them."
87	Knowing that people in a group are either honest or dishonest doesn't help in categorizing specific individuals within that group.
88	"In most scenarios, I placed my judgements somewhere in the middle, simply because I had no reason to either trust or distrust, or like or dislike, the people I was judging. "
89	"i was pretty neutral, it is hard to make sweeping judgements based on just that little amount of info on one person"
90	I liked the people who also follow my own moral beliefs.
91	The fact that one person says that they are not of a particular persuasion has no effect on the other person.
92	I just read it and then went with my instinct. 
93	I used context clues based on the situations. 
94	Just making general assumptions / 
95	I tried to be fair and reasonable in my determinations - In all scenarios we had no /real/ information about the person in questions
96	It's hard to make any judgements when you don't speak to the person that you're discussing.  I tend to think that whoever voices their disapproval is more than likely the culprit.
97	"Being asked to trust somebody without meeting them is hard, so I took the 50/50 chance "
98	Based on perceptions of the topic and how likely it is people lie about the topic.
99	"I had very little to go on, so I just treat the people that  I didn't have information on like I would people I know in life, or how I would treat them if I knew them in real life."
100	I imagined if I was in the situation and what I would do.
101	"I didn't know anything about the persons I was being questioned on. I only knew the thoughts and feelings of other individuals. I neither overly trusted or distrusted anyone I was questioned about and tried to keep a neutral, open mind about them."
102	I trusted what the people said.
103	"Listening to what the person said, they didn't give any reason not to trust them"
104	I generally trust people.
105	hard to make judgement on them because i do not know them personally so i try to stay neutral
106	I thought about what people might gain from cheating or being unfaithful and the scenarios they were place in.
107	"I was less likely to trust someone sharing their opinion about things where the admission of such things would do greater harm. For example, drug use could result in imprisonment and romantic cheating could result in divorce. Cheating on tests and poor work behavior weighed lighter to me."
108	I could not make a judgement about one partner based on the conversations I had with the other partner.
109	depending on what the circumstance was and how likely I thought the other person was to do the thing that was mentioned.  
110	The conspiracy that unfolded made me feel like the other person was judged. So I felt in many situations I could not trust the other individual mentioned in the group.
111	I mostly judged people to reliably report their own behavior based on their opinions of others theoretically engaging in that behavior.  But for someone complaining about unreliable work partners I would be more concerned that they were actually the problem and not their partners.
112	$$
113	I did not know anything about an of them and have no reason to discern what they might or might not be doing.
114	"I considered my relationship with the person in question and also based my judgement on how much info I was given, along with what I would really do in that situation in my own life."
115	thinking about the question and giving my honest answer
116	I made them based on pretty much little info other than the fact the two people mentioned probably had contact with each other.
117	The characters showed moral thinking which will translate to other areas of life.
118	to the best of the person i was talk to
119	Basically I had to rely somewhat on what was being insinuated to make decisions.
120	I went with my gut feeling.
121	They had nice names.
122	Based off the context of what was going on. The likely hood of failing to meet deadlines at work is typically lower than cheating in class ~
123	I think about how I would realstically feel in each situation.
124	this hit seems well thought out
125	"Most chose the neutral position; there was little info to base judgement by talking to the other person, although the hiking and team scenarios had somewhat influenced a more positive judgement as those activities are voluntary."
126	Mostly by gut feelings somewhat biased. 
127	"The scenarios gave information about one person and asked questions about the other, so it was as if we didn't know them at all. There was no trust or distrust, no reason of suspecting them of doing anything negative or positive at all. "
128	Based on the information given in the text.
129	Well I had no information on the person that was asked about so I went in the middle because I had no information to base a answer on. 
130	I couldn't really make much of a judgement based on such little information.
131	I read the passages and made my decisions based on the information I was told.
132	"I'm a very trusting person and take people at their word until they give me reason to feel otherwise. If they claimed they felt a certain way, I took them at their word."
133	"Just because one person said they didn't regularly cheat or were lazy (etc.), didn't necessarily mean that the other person cheated or was lazy (etc.). In the first scenario, I nudged one of my answers to 4, closer to ""more likely"" only because it seemed that the company was small, so for Rachel (Rebecca?) to say she always met deadlines, there was a slightly higher chance that Tina didn't."
134	"There wasn't enough information to form any sort of conclusion about the people that I was asked about, so i had to give a neutral answer.  Just because some other person suspects someone of doing something, doesn't mean it is true, and without any further knowledge, it is unfair to judge."
135	"The person I interacted with was never the person you asked about.  Since I have no basis for this person, I just picked the middle of the road option.  I cannot say if I like them or not since I just do not know them."
136	"I didn't have any reason to trust or distrust the person that I was asked about in the scenarios, so I was neutral."
137	There was no basis for judging whether these people did the wrong thing or not. The only real concern is their desire to gossip. This made me unable to fully trust them.
138	"Based on what the person said, although i was least trusting of the athlete. Seeing as i hardly knew each person in the scenario I coudlnt full trust them."
139	there was no information given about the person in question so just stayed middle of the road.
140	Based on the very little information I had. I am genuinely very trustful until someone does something to make me thing otherwise.
141	"I felt I was more likely to trust or like people outside of work or school - we clearly have other things in common already, such as extra-curricular activities, so it seemed easier to guess their actions if they were already a bit like me."
142	"I knew nothing about the people that were asked about. Conversation about them never even came up, thus I had to go with neutral across the board."
143	WITH CONVERSATION WITH THW PEOPLE.
144	Based on personal experience with similar situations in my life.
145	I tried to base my opinion on just people in general not taking in account how the other conversed.
146	"It was all instinctive, as I knew nothing about any of the people in the answers. "
147	"I simply don't feel that i was given enough information to draw conclusions about the various people's trustworthiness. The fact that someone says ""I would never cheat"" doesn't count for much in the absence of other information. Therefore, I chose the most neutral response available."
148	"I feel like there wasn't enough information in the storylines to make a fair judgement, only being able to judge them on a single statement."
149	"I tried to use my intuition, since there wasn't sufficient information available to make a rational judgment."
150	I chose what was correct in my opinion.
151	"I assume that most of my peers that I'm talking to aren't compulsive liars.  If they say that they disapprove of something, I would usually believe them unless something indicated otherwise.  This builds my trust with them."
152	having no information about the person in question i based it in what i believe the average person is likely to do
153	"I read about the scenarios and tried to make judgements based on the two people presented. It was difficult, however, since I was given no information on the people I was asked to judge and rate. I had to make completely blind assumptions."
154	there was limited inofrmation provided to allow fair judgements to be made
155	"I made my judgments based on how I felt people would normally act in this situation. I wasn't ever talking to the people I was being questioned about, so it was somewhat difficult to determine how they would act without talking to them personally."
156	"Given the lack of information, no real judgements were made."
157	I felt I couldn't make a judgement from only talking with the other person in each scenario. So I chose an unbiased choice for the other person.
158	"I believed what people told me, I am a trusting person"
159	"I approach everything with logic, assuming the person is telling the truth."
160	I was basically given no information on the person I was being asked questions about. 
161	"I wasn't getting any information about the characters I had to judge, so I tried to stay 'middle-of-the-road' - at least until I would know more about them."
162	went with my instincts
163	i just went with my gut feelings
164	"I based my judgement with mental images.  If the situation felt like they could be lying, I recorded that in this survey.  "
165	The questions all referred to the person I didn't have a conversation with so I had no information to go on. I just picked the middle selection as I wouldn't trust or not trust them in equal proportion.
166	Based on how quick a person is to tell on someone else.
167	Gut feeling for the different scenarios.
168	I made them based off of what if my relationship with them was different and they were just angry at others.
169	I trusted the characters words minimally because I would've needed to know more about them to make a completely informed decision on whether or not I trusted them. Trust isn't something you can decide in two sentences
170	I went with my gut feeling and life experiences.
171	I trusted my instincts. 
172	"Pick and choose. This HIT didn't a lot of sense. I wa talking with one person, but was being asked about a different person, someone I had no contact with so had no idea what type of person they were."
173	I tried putting myself in that exact described situation and thought about it
174	I was just being realistic about people and their average usual behavior.
175	I assumed the people were telling the truth
176	thinking about my past 
177	"I can't like or trust someone who I do not know.  Furthermore, I can't make judgements on someone where there is no evidence that THEY are the ones doing the wrong things."
178	Based on the information given
179	mostly with gut feelings.
180	"In all honesty, if I knew someone with the same name, I based my judgement on that persons character."
181	It situation required different tactics. For instance a track team or athletic team seems to be a tight family style attitude and would be easier to trust and like. 
182	"I made judgement on if I was actually in this situations how would I feel. would I feel that I could trust that person based upon what they were saying if I did not know them, and that is how I came up with my answers."
183	just what i felt in my gut
184	I don't really know these people
185	It was very hard to make judgements when you know so little about the people discussed.  I would like to think people can be trusted but there is no way to be sure.  Therefore I figure there is a 50/50 chance that people can be trusted.
186	That most people said that they didn't like what was discribed to me
187	"I tried not to make any judgements about any of the people.  It seemed that judgements were inferred by the people I spoke to, such as Rachel emphasizing that she is not unreliable.  Without getting to know these people myself, I have no way of knowing if these things are true about them or not.  Therefore, I chose down the middle."
188	"Some of the scenarios did not give enough information about the person for me to give a very educated answer, but the ones I did change my answers up for, I simply tried to imagine myself in that situation as best as possible."
189	just put myself in the situations as if they were my friends or people who i knew
190	"Because the conversations I had with others never included mention of the other person identified prior to the description of the conversation, I felt obligated to answer with a neutral ""4"" that indicated my complete ignorance of their traits. "
191	"based on the scenario, their actions speak for itself"
192	"I couldn't judge the person I wasn't speaking to, as I only had information about the person I was speaking to to go off of."
193	I don't know the people or have any information on them so I judged them neutrally
194	"I really didn't know have any information about the second party that the questions were being asked about, so I based it on the likelihood that they were like average people that I meet. "
195	It was difficult to make judgments because there was not a lot of information about the person that the questions was about. I made judgments based on what the people they were talking with said. 
196	"I knew almost nothing about the people I was questioned about, so I answered how I would treat just about anybody."
197	"I would never truly trust a person from one conversation, additionally I'm always skeptical of people who judge others. Makes me believe that they are trying to cover their own faults. "
198	"It depended on the severity of the action to be taken, and how meaningful and/or easy it would be to do. For example, cheating on the tests would be a very easy feat to accomplish, so I found it to be more likely that he would cheat on a test than, say, the athlete using performance-enhancing drugs."
199	"I feel that the article does not provide enough information for me to properly judge the people in the article. As such I am neutral to these people until more information is available to me. I personally don't judge people in real life until I know the full story and their personality, I hardly know the people's real life and personality based on the articles in this study."
200	"I considered the severity of the unethical behaviors and I felt that if they were more serious, most people would be less likely to do them. I am also generally trusting of people."
201	I evaluated how much I trusted people given their descriptions
202	"I based it off my gut feeling, I used the context and how serious of a matter it was, but mostly went with my gut."
203	"well i didnt really know anything about the people i was asked about, so i couldnt say if i trusted them or not."
204	Based on how the person said they were in conversation
205	I made them because I like to believe that I don't make predetermined judgements on people so I gave everyone a 4 for the amount of trust I did/didn't have towards them because that would be unbiased.
206	I generally believe what people say until they give me a reason not to.
207	I didn't know these people so I couldn't accurately trust what they say or not trust it.
208	I tried to consider how likely it is that someone would lie about each particular situation 
209	"Based on the limited knowledge of the peers discussed, and based on that I am generally a trusting person. "
210	"based on information. If I had no information, I would give a nouetral score."
211	I don't judge a person based on someone else's qualities.
212	"I didn't know anything about the people, so I decided to make judgments based on how the average person would act"
213	I think people can generally be trusted but I also think that weight lifters are likely to take PEDs. 
214	I do not personally know these people but were giving them the benefit of the doubt
215	"I made my judgements based on the facts given. If a person disagreed with something that I can disagreed with, the trust and levels different responses were higher as we shared a common belief."
216	from the information provided and from experience
217	I made judgments based on the information given about the person I was having a discussion with. The statement said I knew nothing about the people. Then the person made a statement whether or not they did something. I have not idea if the person was truthful because I did not know them. 
218	I went with my gut reactions for this hit. It was interesting that I was asked to make judgments on someone I know nothing about. So most of these judgments were quite vague and generally how I approach anyone I don't really know.
219	Some people protest that they don't do something if they have good knowledge that the third party does. 
220	"I didn't really know any particulars on these people.  I conversed with only one of each group.  The questions were specific to the one I did converse with.  Therefore, since I did not talk to the other person, I could not make any judgement as to their integrity or honesty."
221	I take most people at their word.  
222	Judgements were made based on the idea that people with nothing to hide will not openly defend themselves when no accusations are being presented.
223	Gut reaction.
224	Based my answers on how I would feel in the situation.
225	I like reading different scenarios people come up with and reacting or commenting on them. 
226	I made it based upon experience and also information provided.
227	I tried my hardest not to pass judgment on someone who I knew nothing about.
228	It was difficult because I knew nothing about the person. I just kind of went with my gut.
229	some the  situations was some I dealt with before so I made the judgments on my pass experience    
230	Basically I made snap judgements of the people involved
231	I judged their responses and my instincts.
232	"It was difficult to say whether or not liked them.  In the first did not know if they had worked together before, in the following ones, wanted to believe the best, but once the seed was planted it impacted on the decision of trust "
233	I assumed that all people are somewhat untrustworthy regardless of what they might say. I also assumed that some people were lying. This means that I would be somewhat reluctant to trust what they told me. I could not discount that they could be telling the truth though. This meant that I gave them a somewhat under average trust score. 
234	"While reading each scenario, the questions weren't about the person the scenario was describing-- so I didn't have any basis to make my judgments from, so I was clueless as to what to think about the person the questions were about."
235	I don't know anyone of the characters so I was careful . I was most of the time in the middle.  / 
236	Well I can't really judge someone when they weren't even specifically speaking about that person alone 
237	I took the seriousness of the issue into account when deciding how much i could trust them with respect to the issue.  I also decided based on how easy it would be to do one the issue in question.  I would not be able to say how much i would like someone based on their statement regarding a single issue.
238	I think most people are honest but I know there is a possibility in every context for unethical behavior. I madde reasonable estimations based on that
239	"most for neutral selection, some from personal background and experience"
240	i had to stay nuetral because i had no info on the other person you were asking me about.
241	"The conversations that the other person and I were having never once specifically mentioned the member who was subject of the questions. The person to whom I was speaking with, in my opinion, simply stated their opinion. "
242	Most scenarios I treated the same. Reliability and cheating were considered standard across the board.
243	"Given the information, it's difficult to tell whether or not the person could be considered trustworthy. I chose to make moderate judgements and only trusted people less because they engaged in gossip about other people. In my opinion, people who gossip about certain subjects are less trustworthy than those who don't engage in gossip."
244	Basically on just gut feelings and how I would normally trust people in certain situations
245	By what they've stated about trustworthiness. 
246	"For the most part, I assumed that the people talking to me were not liars, but since I did not know them at all, there is only so much that can impact how I feel about them, so if the responses I gave were not mutual, they were one removed from it in either direction."
247	"I made my judgments based on the information provided. I would say that I am normally a very trusting person, as well. "
248	Honesty from each person
249	"I based it off of real life. In the real world people don't always tell the truth, they may even bring up a subject and say they would ""never"" do it or ""dissprove"" but that does not exactly mean that they wouldn't, they might be just trying to throw you off, to make you believe it's not them."
250	by reading the scenario passage helped with judging
251	I wasn't sure how to judge individuals you gave me no information on.
252	I thought about the likelihood of someone engaging in the immoral action and how immoral each action would be perceived to assess the probability of someone lying about it.
253	"How I felt about people in general which were involved in those activities.  The word ""exclaims"" made it seem like people were sincere or excited to discuss."
254	I based my judgements on how I would judge somone in person.
255	I think most people are generally honest but no one is really going to admit cheating on a test or a partner. That's how you get caught. 
256	i based it on the fact that i felt like the people we were talking to were gossiping and not at all being truthful
257	"Knowing nothing about the other party, I opted for the neutral option in just about every case. There simply wasn't more information to go off of."
258	My true feelings.  
259	Fairness and questioning.
260	"I figure if someone is publicly against something, they probably don't partake in it."
261	"Given the circumstances and lack of  knowledge about, or relationship with the other person, I stayed fairly neutral, with caution in mind.  But also considering that this person was open to talking and discussion, which would establish a positive basis to build upon."
262	I went with my gut based on the text scenarios. 
263	I couldn't.
264	I generally don't take people for their word unless they have proven their word. I think people's actions are independent of their words and I don't really rely on what they say. I am neither more or less likely to trust someone when they tell me they are trustworthy.
265	
266	well i knew nothing of the ones i had to answer on so i trusted them til i have information to make me not.
267	"I had no information about the other person, so I chose the most neutral option."
268	evaulating the options
269	"I didn't know the person, so I reserved my judgement on them."
270	"I felt I could trust the people overall, but there's always a chance they are lying especially if they emphasize something."
271	"I believe trust is an earned trait,until a person displays to me otherwise, my trust in him is solid .That`s how I made my decisions."
272	the situation of the conversation
273	I had no knowledge about the other person.
274	I read through the paragraph given and then based my judgements on how they responded to the question given to them.
275	I used the information provided to make my best judgments about the people
276	"Sometimes people emphasize their disapproval with a certain behavior, because they want to draw attention away from them, so I decided which of the people might be doing that and chose to trust them less. "
277	I feel it is important to reserve judgement. I had to little information to determine any thing real about any of the people.
278	"I give people a chance to earn my trust (or my distrust). They start at a fairly neutral position when I meet them and we go from there. I don't think cheating is super common in any setting, but it definitely happens some."
279	I made them on the basis that most people will lie.
280	I based my judgements on what I knew from the given scenerio. 
281	I just went with my gut instinct. 
282	I read the stories and went with how I felt among the story itself and my beliefs.
283	I made my judgments based on how the other people I was conversing with reacted/or explained how they felt about the unethical activity.
284	"There wasn't enough info regarding each individual to be able to properly assess their honesty, faithfulness, likeability, etc. So I chose the middle number to indicate no comment."
285	Someone else's opinion of themselves is unlikely to change my opinion about other people.
286	I made judgements based on what was written. For example she would not do (Viotin?) but she did not say she wouldn't try something else.
287	I trusted what the people said because I didnt have any information that said otherwise.
288	"In my experience, people generally go out of their way to deny unflattering characteristics. It was difficult to assess from the limited information to make a very good judgment but ordinarily, people cheat. They lie and they go out of their way to make themselves look good. "
289	My gut feelings
290	I didn't actually talk to the people I was taking surveys about so I figured I'd give them the benefit of the doubt in most situations. I generally scored them lower on whether or not I would like them because I apparently hadn't spoken to them.
291	"No real process, just thought about how I felt."
292	"I am generally trusting of others and what they say to me, so depending on the activity I was participating in, I believed them or was at least neutral in believing them."
293	"If a person is against a negative task, they are unlikely to do it, but there is always a chance. The traits portrayed are admirable, so I liked the people."
294	Reading through the short descriptions of whom I was talking to and about what. I then guaged my response based upon the answers they have given me on whether they cheat or not.
295	i based them on my general perceptions of people that i know
296	I thought about the statements the person I was talking to made and what that says about their general character.
297	I guess I just went with my intuition and judged everyone fairly based on the context.
298	"I was given no information to answer the questions, so I answered all of them neutrally."
299	I answered honestly
300	I just went with gut feelings and how likely someone was to emphasize something in real life
301	I made judgement based on what I read and went with my gut.
302	"If someone says they don't do it and I have no reason to believe otherwise, I will take their word for it."
303	Based on the story given and the person view in the story.
304	I made my judgements based on the statements attributed to the person.
305	Well I read the scenarios and just tried to use my imagination to envision what the other person was like. I kind of stuck with the idea that most people are decent.
306	"Overall, I do not trust people much so I went with the scenario and how personal it was to me"
307	I read the scenarios and formulated my own opinions
308	"Based on very limited information, and taking the characters at their word."
309	I tend to believe in people unless I've been crossed by them.
310	I just took the questions as a whole. I try to analyze on a number of variables.
311	"SInce I was given no real info, I decided to assume evreyone was doing the right thing and gave them the benefit of the doubt. "
312	what i knew of the other person
313	I was neutral in all decisions because I could not rate one person without talking directly to them.  The association between the two people is not that revealing.
314	"In all of the scenarios the person I was talking to was not the person I was judging, and in all of the scenarios it said I didn't know anything about either of these people.  Therefore I took a neutral stance on all questions about the person I was asked questions about, as I had no way to judge them."
315	"The first few seemed straight forward but as they went on, I think I realized how trusting I am and started to back off from that."
316	I try to stay as unbiased as possible and give everyone a fair shot. I try not to make assumptions about people.
317	"I don't know these people, and just because someone says they disapprove of something does not mean they are not doing it themselves. I would need to know more about these people to trust them more."
318	I made judgments rationally. I know nothing about the other person so I can't judge them.
319	Without any other information I had a neutral opinion of the people
320	"Since I didn't know any information about the people, I didn't make any sort of judgement about them and assumed they were just as likely as everyone else. "
321	I gave a neutral judgement for each person because we weren't given any information of them.  We were only given information for the one person and had nothing to base judgments off for the other person.
322	Gut instinct
323	I generally judged them neutrally or positively. I try not to judge negatively until I have actual experience that they have done something bad. 
324	"Generally speaking, I don't put too much trust in anyone until they prove themselves, but I try not to be too doubtful as well. People can say one thing and do another, and people can surprise you in good ways as well."
325	"I find it annoying for someone to make assertions about their behavior when I have little prior context to give weight to their words. If someone is trustworthy, then they can demonstrate it by their actions. If I do not already believe that an individual has integrity, then the assertions raise questions more than they give me confidence."
326	By what others are telling me.
327	The person i was making conversation with helped a bit.
328	"Well, I generally trust the people I know so I thought I would generally trust these people, but not entirely because you never know when someone's going to let you down."
329	i made the judgements in the context of the story I read. 
330	"Just based everything off like the three people are the only ones in the certain event.  If one person says they disapprove of something, well they could be lying or it's the other person doing the other thing. I don't know for sure but it would definitely affect my opinion of the person I was not talking to."
331	Based on the information given to me and whether it was enough to go by a strong decision in a particular direction.
332	Seeing that I did not know the individuals I kept it close to the middle.  Stay guarded.  
333	"I had virtually no information about the person with whom I was not speaking, but all of the questions asked me about that person."
334	"I generally trusted people moderately, but was relative neutral since no specific information about their past actions was given."
335	based on how most people act in these situations
336	"I felt like in some contexts people would be more honest and in others they wouldn't.  For instance, when talking about performance enhancing drugs, I find it much more likely that the person would lie since it's a serious issue.  On the other hand, it's not too likely that someone would lie about unreliable partners."
337	by instinct
338	i made my judgments based on real life experiences that i have encounter's 
339	I made judgments by thinking about the situation as if it were truly happening in real life
340	I just went with my gut reaction to each situation.
341	considered how i would react in the given scenarios 
342	"The possibility of people cheating in class, in sports, etc. does not affect my feelings towards people I know nothing about. I know people are capable of murder, but I cannot assume or make judgments about unknown persons and their ability to commit murder. "
343	I made my judgements based on the information given in the first few lines before the conversations and on each individual situation.
344	"based on the story and informatino provided?  if i know nothing about someone, i generally assume not the best but better than most i guess who knows"
345	I just used my gut feelings and experiences 
346	I tried to judge people from certain groups based on my previous interactions with people in similar circumstances and how they acted. 
347	Took all sides and made my decision
348	Whether they do seem trustworthy or not.
349	It depended upon the what the situation was and what I figured the odds were in each situation.
350	I made my judgement by reading the passage and then thinking about what the people was like.
351	intuition
352	based on the information giviven and my own attitudes toward life and people.
353	I do not know the person questioned in this hit so I cannot say whether or not I trust them or how they are as a person.
354	I read and judged by the most accessible choices.
355	Gut intuition
356	"I figure most people are generally trustworthy, so I took what they said at face value"
357	I have mostly a positive attitude towards people until I get to know them and see otherwise.
358	I just based them by what i thought and the info provided in the hit.
359	my life
360	"Since I didn't know anything about the specific individuals asked about, I gave neutral responses when there was some doubt about character (someone is suspected or cheating or using illegal drugs), but in the other scenerios where cheating is not the norm (relationships, work partners), I gave them more positive ratings because I think people are usually trustworthy in those regards."
361	"I didn't know if they were hones, or telling the truth give the information provided. "
362	I'm rather trusting so I took their comments at face value.
363	Based on the person said they didn't do something.  Took little into account the situation as not much other information was given on how the person was likely to commit the bad deed.
364	By people I personally know with those names.
365	I know nothing about the people the questions asked about
366	I gave the people the benifet of the doubt since i didnt know much about them other than were accused.
367	"I assumed that if the person I was having a conversation with did not approve of x, then he/she would be unlikely to do x in the future.  In all scenarios, x had a negative connotation, so I believed, in general, that the person was a good person."
368	Trying to think of how I relate to people I don't know.
369	Based on life experiences and how a persons statements can be counted on in specific scenerios.
370	"There is not enough information to make me trust or distrust the other person with whom I was not speaking too. It was stated in all situations I did not know either person, therefore I did not trust nor distrust them."
371	"People who emphasize that they don't are either guilty or really judgmental in my mind. So I wouldn't say any of the characters are completely trustworthy. Also, Tina sounded like she was bragging."
372	I used their statements
373	"It was difficult to make any sort of judgment, given that I was given very little information about the people I was making judgments on, so I stayed toward neutral.  I tend to give people the benefit of the doubt only so far as not classifying them one way or another until I've had my own experiences with them."
